feature	S1A	S1B	S2A	S2B	S3A	S3B	S4A	S4B	S5A	S5B	S6A	S6B
K04786	0.444444444444444	0.333333333333333	0	0.555555555555555	0	0	0	0	0.222222222222222	0	0	0
K04794	0	0	0	5	0	0	0	0	3	0	0	4
K04835	28.25	40.5	9	86.25	0	6.875	0	18	47.75	73.5	57	116
K04844	4.32142857142857	2.07142857142857	0.625	0	0.875	2.69642857142857	0	0	0	0.982142857142857	0	0.625
K04940	5.66666666666667	3	0	6.66666666666667	0	1	80.7	0	5.33333333333333	0	0	0
K05020	1094.72222222222	623.185858585859	1030.22474747475	354.520202020202	1256.92777777778	3761.28888888889	577.444444444444	1727.16666666667	331.055555555556	886.75	935.333333333333	543.194444444444
K05245	1	0.25	0	0	0	0.375	0	0	29.25	0	0	0
K05275	5.9547619047619	3.17142857142857	0	1.66666666666667	0.4	3.27142857142857	87.4	0	345.466666666667	39.0821428571429	0	0
K05281	0	0.363636363636364	0.363636363636364	0.909090909090909	0	0	0	0	0	0	0	0
K05296	0	0	0	0	0	0	0	0	2092.2	82.4	0	0
K05297	1.21666666666667	0	2	0.833333333333333	0	0.55	8538.91666666667	3.16666666666667	2998.5	1124.08333333333	0	8
K05303	0	0.363636363636364	0.363636363636364	0.909090909090909	0	0	0	0	0	0	8	22
K05306	1.21666666666667	0.363636363636364	0.363636363636364	1.74242424242424	0	0.55	69	0	2998.5	1121.58333333333	0	0
K05311	1020.18333333333	802.64696969697	642.57196969697	912.575757575758	1958.11111111111	1608.56944444444	730.291666666667	38.4166666666667	419.5	469.541666666667	1028.04166666667	1340.29166666667
K05337	2962.8	2291.08308080808	2398.33585858586	1704.00631313131	3335.11666666667	4690.39166666667	1425.52222222222	2308.71944444444	749.552777777778	1794.88055555556	1391.03333333333	1828.48611111111
K05338	9.46666666666667	16.4969696969697	8.1969696969697	7.99242424242424	13.6194444444444	5.65	0.875	9.2	1	0.625	5.325	6.58333333333333
K05339	9.46666666666667	16.4969696969697	8.1969696969697	7.99242424242424	13.6194444444444	5.65	0.875	9.2	1	0.625	5.325	6.58333333333333
