"Pathway"	"S1A"	"S1B"	"S2A"	"S2B"	"S3A"	"S3B"	"S4A"	"S4B"	"S5A"	"S5B"	"S6A"	"S6B"
"ko00960"	5934.90634920635	5537.6420995671	3973.72305194805	10163.9336219336	9122.79880952381	11841.2115079365	55553.0535714286	153030.569444444	28285.4373015873	17630.0353174603	6041.94166666667	15744.0793650794
"ko00965"	583.115873015873	628.601731601732	169.155303030303	635.214646464646	1208.70833333333	2010.75476190476	15092.4666666667	37543.1	4697.68888888889	3501.49880952381	436.166666666667	1077.79166666667
"ko00966"	5767.86785714286	5705.68863636364	4710.88387445887	5270.76226551227	4415.62857142857	7460.50793650794	10570.630952381	3478.56111111111	7331.66031746032	7686.05912698413	3576.88333333333	6894.49246031746
"ko00970"	484492.762301587	477887.427633478	392334.502236652	551478.307178932	534051.313095238	520130.358333333	1430163.43015873	2696585.70555556	651289.11468254	619294.736111111	346940.733333333	659295.293650794
"ko00980"	4762.25753968254	4763.95111832612	4538.7531024531	5431.79347041847	3712.70436507937	6480.21825396825	95815.223015873	3868.50277777778	23444.3900793651	16405.1996031746	4244.23333333333	8453.24047619048
"ko00981"	46.3944444444444	40.0242424242424	14.7992424242424	189.949494949495	2.60833333333333	11.1	7874.66666666667	37627.4666666667	6910.15555555556	2354.78333333333	506.666666666667	195.458333333333
"ko00982"	4762.89087301587	4764.67839105339	4539.48037518037	5434.02831890332	3712.70436507937	6480.51825396825	96334.4896825397	3922.10277777778	23855.0234126984	16900.4662698413	4244.23333333333	8453.24047619048
"ko00983"	50808.8607142857	46438.9369408369	38328.5044011544	54880.9673520924	57903.1523809524	71541.8948412698	216749.137301587	404469.505555556	64712.0448412698	62977.6742063492	38932.4166666667	59051.5829365079
"ko00984"	0.666666666666667	1.1	4	0.833333333333333	0.4	1.4	6761.2	38908.2	18839.1333333333	768.6	0	0
"ko00999"	10757.0845238095	9926.88787878788	8759.99145021645	10734.2395382395	12135.8341269841	15225.2273809524	51229.5476190476	194001.838888889	17057.9492063492	14841.023015873	7579.30833333333	14017.9813492063
