"feature"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"	"S11"	"S12"	"S13"	"S14"
"K02291"	1781.16013708514	2527.74384920635	1477.50003607504	1786.60943362193	1875.72741702742	2021.27067099567	1212.97281746032	2294.58367604618	2139.51219336219	2564.05804473304	2513.39608585859	2368.84498556999	1152.33533549784	1044.03979076479
"K02293"	29	13.5	14.25	55	50.5	57.5	28.25	9.5	12.75	25.75	49.25	56.75	3	9.5
"K02294"	3.375	6.5	1.5	2.75	5.5	4.25	0.375	4	2.5	2	6	1.75	0.5	2.25
"K02297"	559.925468975469	1400.99877344877	336.48943001443	403.651984126984	318.058477633478	415.252128427128	230.319985569986	2141.78852813853	1501.38701298701	1605.90357142857	553.096212121212	392.487085137085	304.792803030303	689.479797979798
"K02298"	573.739357864358	1407.20710678211	343.856096681097	438.346428571429	334.539033189033	439.446572871573	239.292207792208	2138.42741702742	1513.51201298701	1638.57023809524	570.62398989899	419.075974025974	314.042803030303	682.063131313131
"K02299"	629.286075036075	1466.51266233766	396.68943001443	557.073701298701	373.4556998557	508.591017316017	315.842712842713	2149.22034632035	1548.15974025974	1734.40357142857	681.23005050505	499.992640692641	371.164015151515	705.229797979798
"K02300"	599.652741702742	1450.095995671	365.531096681097	468.323701298701	331.1556998557	437.307683982684	273.426046176046	2149.97034632035	1522.88196248196	1681.65357142857	621.563383838384	433.209307359307	359.580681818182	703.479797979798
"K02301"	2431.30670995671	2383.86998556999	2047.3893037518	1949.99141414141	2263.35371572872	2051.9681998557	1553.02522847523	2487.90147907648	2312.27707431457	2927.1759018759	2924.73373015873	2865.55533910534	1247.2882034632	1244.68932178932
"K02302"	1094.41911976912	677.239646464647	946.573358585859	1151.98055555556	1513.07157287157	1585.47058080808	750.094191919192	260.983766233766	554.301497113997	805.321031746032	1511.89343434343	1703.39978354978	670.452326839827	530.804004329004
"K02303"	2663.92471139971	2921.89693362193	1910.80205627706	2024.93849206349	2577.74801587302	1936.99404761905	1366.90860990861	4225.67622655123	3223.73351370851	3521.93582251082	3219.98484848485	3163.4246031746	1285.04875541126	1414.09206349206
