"Pathway"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"	"S11"	"S12"	"S13"	"S14"
"ko00643"	12771.0378427128	13367.128968254	10648.0520382395	11750.5302128427	12094.0112193362	12221.5447510823	9229.06918590669	11662.8135642136	12146.055952381	15115.7637085137	15588.698989899	14351.2159090909	8407.0468975469	7332.11421356421
"ko00650"	65302.7965007215	76317.8171356421	54232.9655663781	58073.8503968254	64524.2861111111	68323.5408730159	47279.6250841751	74527.2053030303	70472.5569805195	86894.4824314574	80725.6874098124	77589.4988095238	40817.2910894661	37230.9551587302
"ko00660"	20537.2277777778	26857.0839646465	17877.1963924964	19738.3407106782	19681.3408730159	21096.4926587302	14977.5876924002	25144.0298701299	23226.9922077922	29952.642027417	26120.0925505051	24740.2718253968	12464.6712121212	12444.8365079365
"ko00670"	24789.4890692641	31663.0666125541	19617.9497655123	23892.3671536797	23532.0069264069	24886.6610930736	17957.8828222703	35465.3577922078	30445.8462301587	37806.8294733045	31586.5443542569	29428.961038961	13673.6112554113	16149.146969697
"ko00680"	66334.1787157287	72673.5607683983	56798.5414502164	61055.9791486292	64178.1403318903	66611.8312049062	48499.1125300625	67904.0518759019	67319.7026515152	85534.4822510823	82348.3698232323	77924.8938672439	39497.7691738817	35829.7860750361
"ko00710"	30572.4754689755	34231.3926046176	24810.4382756133	29344.237049062	30188.9549062049	30761.6983585859	22432.5523088023	32334.8696067821	31246.11497114	42568.2432900433	38841.0797979798	36904.7644660895	17803.3929292929	17036.5869408369
"ko00720"	79575.9357503607	77566.935515873	67020.9108225108	71082.8857864358	81358.3638167388	83054.7300865801	57368.3159211159	71077.6398629149	72462.0179473304	93490.1520562771	99828.1078823954	97792.0596320346	47491.4698593074	38951.9275613276
"ko00730"	24299.5270923521	28352.0517857143	19037.0204545455	22047.0128787879	23557.7141774892	22173.394534632	16997.6794252044	32288.6965548341	27894.6998737374	34204.9796897547	30276.5412878788	28777.8448051948	13279.1610209235	14133.1472943723
"ko00740"	15617.9538600289	21412.7455988456	12373.9368506494	13587.9396464646	13231.9502525253	13500.919498557	10684.6029100529	25803.679455267	20969.3112012987	25139.9872655123	18538.5654040404	16905.8585497835	8202.31053391053	10626.3590909091
"ko00750"	12373.7737734488	14108.4202922078	10094.9833874459	11820.9390873016	12079.0444083694	12012.6233766234	9015.28799302549	14589.5865981241	13190.6899170274	17147.4236652237	15666.7306818182	14742.1645382395	6827.64745670996	7541.41536796537
"ko00760"	36735.9441558442	47565.5212842713	29624.9046176046	34292.9296897547	34522.1042568543	37028.5272727273	25494.7662938913	50279.0422438672	44148.4951298701	54609.4695526696	45148.6492063492	41982.7781385281	20237.5616883117	23429.4643578644
"ko00770"	39540.4825036075	46828.8207070707	32632.9521464646	36517.7144300144	38536.0953463203	40328.5693542569	28481.7095358345	48479.5399350649	44052.7483946609	55770.9067099567	49091.2477272727	46757.3563852814	23063.130465368	23433.1542929293
"ko00780"	32587.6852092352	36830.3552128427	25891.7009018759	30104.8573232323	32759.5317099567	34410.3410353535	23894.4443001443	37712.8809163059	34295.6387987013	43677.4238095238	41170.386489899	38927.6443001443	18807.418452381	19514.1947330447
